Nom,Sexe,Âge,Département,Fonction,Service,Date d'embauche,Salaire de base,Prime,Statut,Salaire total
Joséphine Pineau,Femme,41,Mono,Manager,Commercial,6/15/2018,340843.92,82833.41,Consultant,423677.32999999996
Dorothée Lucas-Poirier,Femme,59,Alibori,Chargé de clientèle,Commercial,1/15/2016,135559.79,33011.68,CDI,168571.47
André Jean,Femme,29,Alibori,Manager,Support,11/21/2023,432109.8,63927.03,Consultant,496036.82999999996
Émile Robert du Ollivier,Homme,58,Ouémé,Développeur,Support,12/11/2016,209898.37,59112.49,CDD,269010.86
Zoé-Michelle Guillaume,Femme,56,Alibori,Technicien,Technique,8/7/2024,101749.66,7959.51,Stage,109709.17
Éric Langlois,Homme,56,Alibori,Commercial,Technique,3/2/2017,213908.55,42138.31,Stage,256046.86
Franck Delorme,Homme,40,Collines,Manager,RH,5/15/2016,139131.84,8425.07,Consultant,147556.91
Adrien Parent,Femme,42,Zou,Technicien,IT,11/1/2020,387890.12,24875.89,CDD,412766.01
Jacques Samson,Homme,50,Zou,Manager,Commercial,12/2/2020,324801.64,34063.16,CDD,358864.80000000005
Théophile Bernard,Femme,25,Ouémé,Manager,Technique,1/8/2023,187175.3,38087.63,CDI,225262.93
Cécile Techer,Homme,35,Plateau,Développeur,Finance,12/23/2019,188075.92,36391.86,Stage,224467.78000000003
Sylvie du Petitjean,Femme,52,Atacora,Chargé de clientèle,Technique,12/24/2020,126026.76,21068.7,CDD,147095.46
Grégoire Fischer-Roy,Femme,45,Plateau,Comptable,Support,2/23/2024,363728.78,24434.25,CDI,388163.03
Zacharie Petit,Femme,40,Ouémé,RH,Commercial,5/12/2021,325699.72,70094.11,CDI,395793.82999999996
Bernard Delannoy,Homme,54,Littoral,Technicien,Commercial,3/3/2016,180563.86,27365.81,CDI,207929.66999999998
Lucy Mace-Hardy,Femme,34,Collines,Comptable,Technique,5/1/2023,159374.97,8270.79,CDD,167645.76
Augustin Grondin,Homme,37,Couffo,Comptable,IT,2/11/2021,463056.4,26198,Stage,489254.4
Jules Hoareau-Nicolas,Homme,40,Alibori,Technicien,Support,7/6/2020,301828.36,25705.87,CDD,327534.23
Paul de la Devaux,Homme,57,Borgou,RH,Commercial,12/15/2019,99814.42,14636.66,CDI,114451.08
Catherine Rossi,Homme,37,Couffo,RH,Technique,8/28/2023,357029.4,91174.46,Consultant,448203.86000000004
Thérèse-Émilie Delannoy,Femme,43,Littoral,RH,Support,10/2/2021,453760.03,126248.44,CDD,580008.47
Martin-Daniel Gonzalez,Femme,49,Ouémé,RH,Commercial,8/27/2016,229031.02,33945.25,Consultant,262976.27
Thierry Leconte de la Valentin,Homme,23,Mono,Chargé de clientèle,Support,1/5/2024,200300.05,24832.48,Stage,225132.53
Marine Renard de Jacquet,Femme,31,Donga,Développeur,RH,8/23/2023,140498.86,30554.86,CDI,171053.71999999997
Christelle Gérard,Homme,30,Littoral,Manager,Commercial,9/7/2024,466992.65,31958.2,Consultant,498950.85000000003
Christophe-Maurice Joubert,Homme,27,Donga,Chargé de clientèle,IT,9/26/2020,180523.71,42957.99,CDD,223481.69999999998
Marie Louis de Legros,Homme,52,Donga,Technicien,RH,5/5/2020,316220.63,2564.58,CDI,318785.21
Alice Gonzalez,Femme,58,Atacora,Manager,Finance,4/10/2016,134413.6,3555.99,Stage,137969.59
Odette Perrin,Femme,40,Plateau,RH,IT,10/22/2017,334613.36,76041.89,CDI,410655.25
Alfred Lagarde,Femme,46,Atacora,Développeur,RH,8/28/2019,429139.22,117645.64,CDD,546784.86
Alain Courtois,Homme,41,Mono,Commercial,RH,8/19/2024,433513.62,35048.5,Consultant,468562.12
Margot Vasseur,Femme,28,Ouémé,Commercial,Technique,6/26/2018,231028.39,38536.25,Consultant,269564.64
